,0,1
0,if alone nt see child collapse perform five cycles compressions breaths child — take two minutes — calling local emergency number getting aed one available alone lone lonely alone only alone unique unequaled see understand realize realise witness find see child kid child baby child collapse flop collapse crash collapse perform perform do perform basketball_team five five-spot five five 5 v cycle cycle hertz Hz cycle_per_second compression condensation contraction compression compression compressing breath breath breather breathing_place hint intimation breath child kid child baby child take take take occupy use_up deuce two two 2 ii minute min moment mo minute moment minute second name call call call telephone call_up local_anesthetic local_anaesthetic local local local emergency hand_brake emergency emergency_brake number act routine number phone_number telephone_number number get acquire become go get get let have one one 1 i one unitary available uncommitted available usable useable,1
1,alone see child collapse call local emergency number get aed one available beginning cpr if another person available person call help get aed begin cpr alone lone lonely alone only alone unique unequaled see understand realize realise witness find see child kid child baby child collapse flop collapse crash collapse Call cry outcry call call claim local_anesthetic local_anaesthetic local local local emergency hand_brake emergency emergency_brake number act routine number phone_number telephone_number number get acquire become go get get let have one one 1 i one unitary available uncommitted available usable useable beginning commencement first beginning beginning origin root person person available uncommitted available usable useable person person Call cry outcry call call claim assistant helper help aid assistance help avail help service get acquire become go get get let have get_down begin get begin start begin lead_off start,2
2,put child back firm surface put set place put frame redact cast child kid child baby child rear back back rear back tauten firm tauten firm firm steadfast steady surface surface Earth's_surface surface,3
3,kneel next child neck shoulders kneel adjacent next side_by_side future next succeeding next child kid child baby child neck neck neck shoulder shoulder shoulder_joint articulatio_humeri shoulder,4
4,use two hands one hand child small perform chest compressions function purpose role use consumption economic_consumption usance deuce two two 2 ii work_force workforce manpower hand manus mitt hired_hand hand hired_man one one 1 i one unitary hired_hand hand hired_man handwriting hand script hand child kid child baby child small small little minor modest small perform perform do perform chest breast chest chest_of_drawers chest bureau compression condensation contraction compression compression compressing,5
5,press straight compress chest inches approximately centimeters if child adolescent push straight chest least inches approximately centimeters greater 4 inches approximately centimeters push hard rate 120 compressions minute press public_press press printing_press crush jam press straight straightaway straight straight consecutive compress compact pack_together compress constrict squeeze chest breast chest chest_of_drawers chest bureau column_inch inch edge inch child kid child baby child adolescent adolescent teen teenage adolescent jejune juvenile push thrust energy push get-up-and-go push_button push button straight straightaway straight straight consecutive chest breast chest chest_of_drawers chest bureau least least to_the_lowest_degree column_inch inch edge inch great great outstanding great four 4 iv column_inch inch edge inch push thrust energy push get-up-and-go push_button push button hard hard hard knockout severe rate charge_per_unit pace rate rate one_hundred_twenty 120 cxx compression condensation contraction compression compression compressing moment mo minute moment minute second minute arcminute minute_of_arc,6
6,do compressions followed two breaths this one cycle do doh ut Doctor_of_Osteopathy DO make do compression condensation contraction compression compression compressing postdate follow follow fall_out follow travel_along deuce two two 2 ii breath breath breather breathing_place hint intimation breath one one 1 i one unitary cycle cycle hertz Hz cycle_per_second,7
7,with airway open using head tilt chin lift maneuver pinch nostrils shut mouth to mouth breathing cover child mouth making seal air_lane flight_path airway respiratory_tract airway airline airline_business airway outdoors out-of-doors open_air open open surface use utilize utilise use habituate use expend head mind head brain head chief top_dog controversy contention contestation tilt tilt list inclination Kuki Chin Kuki-Chin chin chin_up aerodynamic_lift lift elevation lift raising lift rise tactic tactics maneuver maneuver manoeuvre play maneuver manoeuvre tactical_maneuver pinch touch hint tinge emergency exigency pinch close shut exclude keep_out shut_out shut unopen closed mouth mouth mouth mouth mouth mouth breathe take_a_breath respire breathe breathe blanket cover cover covering screening binding book_binding cover child kid child baby child mouth mouth mouth qualification making making make do seal stamp seal sealskin Navy_SEAL SEAL,8
8,prepare give two rescue breaths give first rescue breath — lasting one second — watch see chest rises if rise give second breath if chest nt rise repeat head tilt chin lift maneuver give second breath be careful provide many breaths breathe much force cook fix ready prepare organize organise prepare give yield give afford give deuce two two 2 ii rescue deliver rescue breath breath breather breathing_place hint intimation breath give yield give afford give first number_one number_1 beginning commencement first first_base first rescue deliver rescue breath breath breather breathing_place hint intimation breath survive last live permanent lasting durable lasting long-lasting one one 1 i one unitary moment mo minute second_base second moment minute second watch watch vigil watch see understand realize realise witness find see chest breast chest chest_of_drawers chest bureau rise ascent ascension ascent acclivity rise rise rising ascent rise ascent ascension ascent acclivity rise rise rising ascent give yield give afford give moment mo minute second_base second moment minute second breath breath breather breathing_place hint intimation breath chest breast chest chest_of_drawers chest bureau rise ascent ascension ascent acclivity rise rise rising ascent repeat reiterate ingeminate duplicate reduplicate double recur repeat head mind head brain head chief top_dog controversy contention contestation tilt tilt list inclination Kuki Chin Kuki-Chin chin chin_up aerodynamic_lift lift elevation lift raising lift rise tactic tactics maneuver maneuver manoeuvre play maneuver manoeuvre tactical_maneuver give yield give afford give moment mo minute second_base second moment minute second breath breath breather breathing_place hint intimation breath be be be careful heedful careful deliberate measured careful provide supply ply provide put_up provide offer breath breath breather breathing_place hint intimation breath breathe breathe breathe much much much force force forcefulness strength force personnel,9
9,after two breaths immediately begin next cycle compressions breaths if two people performing cpr conduct compressions followed two breaths subsequently later afterwards after deuce two two 2 ii breath breath breather breathing_place hint intimation breath immediately immediately get_down begin get begin start begin lead_off start adjacent next side_by_side future next succeeding next cycle cycle hertz Hz cycle_per_second compression condensation contraction compression compression compressing breath breath breather breathing_place hint intimation breath deuce two two 2 ii citizenry people people multitude masses mass perform execute do perform perform demeanor demeanour behavior conduct carry_on deal conduct lead direct compression condensation contraction compression compression compressing postdate follow follow fall_out follow travel_along deuce two two 2 ii breath breath breather breathing_place hint intimation breath,10
